year,month,date,group_code,group_name,index,weight,base_year,base_year_source,has_conflict,mom_change_pct,annual_average,family,source_document,source_sha256
2026,3,2026-03,06,Health,112.2,4.03,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,07,Transport,110.1,3.6,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,08,Communication,105.8,4.06,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,09,Recreation and Culture,105.8,0.88,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,10,Education,103.8,4.06,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,11,Restaurants and Hotels,110.8,0.64,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,3,2026-03,12,Miscellaneous Goods and Services,114.6,2.57,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,00,General Index,116.0,100.0,,unresolved,0,1.8,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,01,Food and Beverages,121.9,40.39,,unresolved,0,2.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,02,Tobacco,109.6,0.34,,unresolved,0,1.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,03,Clothing and Footwear,126.1,10.25,,unresolved,0,4.8,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,04,"Housing, Water, Electricity and Other Fuels",107.4,24.09,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,06,Health,115.1,4.03,,unresolved,0,2.6,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,07,Transport,113.1,3.6,,unresolved,0,2.7,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,08,Communication,108.1,4.06,,unresolved,0,2.2,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,09,Recreation and Culture,108.4,0.88,,unresolved,0,2.5,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,10,Education,104.2,4.06,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,11,Restaurants and Hotels,117.6,0.64,,unresolved,0,6.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2026,4,2026-04,12,Miscellaneous Goods and Services,111.7,2.57,,unresolved,0,-2.5,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-أبريل-2026.pdf,ba5893c5ebc6e26f6a95db78e97ee1c124668c6827d8fb92d4d37dfb041d3231
2015,1,2015-01,00,General Index,141.7,100.0,2008.0,stated,0,,150.8,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,1,2015-01,02,Tobacco,258.1,0.7,2008.0,stated,0,,260.9,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,1,2015-01,06,Health,166.5,4.1,2008.0,stated,0,,175.1,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,1,2015-01,07,Transport,133.2,8.1,2008.0,stated,0,,133.6,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,1,2015-01,08,Communication,71.7,2.7,2008.0,stated,0,,74.3,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,1,2015-01,10,Education,132.7,4.0,2008.0,stated,0,,142.8,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
2015,2,2015-02,00,General Index,143.2,100.0,2008.0,stated,0,,150.8,A,الأرقام-القياسية-الشهرية-لأسعار-المستهلك-لسنة-2015م-2019م.pdf,71c26f7616a31d2427d3687fca18c23afff7dea2a9c60365863656d8ec8eb9e4
