date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2013-01-31,2013,1,13448.7,1434.5,16220.9,17655.4,1494.4,32598.5
2013-02-28,2013,2,13981.2,1420.2,16311.9,17732.1,1410.1,33123.4
2013-03-31,2013,3,13685.8,1823.2,15911.5,17734.7,1392.4,32812.9
2013-04-30,2013,4,12868.0,2262.7,16050.5,18313.2,1374.6,32555.8
2013-05-31,2013,5,12283.0,2238.6,16538.5,18777.1,1713.5,32773.6
2013-06-30,2013,6,11814.8,2094.1,17408.4,19502.5,1720.3,33037.6
2013-07-31,2013,7,12920.8,1686.4,17808.6,19495.0,1677.7,34093.5
2013-08-31,2013,8,13294.0,1904.7,16555.2,18459.9,1665.7,33419.6
2013-09-30,2013,9,13054.9,2157.8,17122.3,19280.1,1663.7,33998.7
2013-10-31,2013,10,13304.3,1977.2,16928.5,18905.7,1719.4,33929.4
2013-11-30,2013,11,13264.3,2019.8,18170.5,20190.3,1703.2,35157.8
2013-12-31,2013,12,13419.9,1622.6,20165.4,21788.0,1678.6,36886.5
2014-01-31,2014,1,13579.1,1644.0,18675.7,20319.7,1728.1,35626.9
2014-02-28,2014,2,13707.3,1829.1,18462.6,20291.7,1731.8,35730.8
2014-03-31,2014,3,14286.5,1621.9,18090.1,19712.0,1721.0,35719.5
2014-04-30,2014,4,14537.7,1577.2,18924.2,20501.4,1726.5,36765.6
2014-05-31,2014,5,14905.0,1414.5,18638.7,20053.2,1711.4,36669.6
2014-06-30,2014,6,15246.7,1628.6,17658.7,19287.3,1805.3,36339.3
2014-07-31,2014,7,15993.3,1236.6,20909.8,22146.4,1797.4,39937.1
2014-08-31,2014,8,16785.0,1418.9,19057.8,20476.7,1810.4,39072.1
2014-09-30,2014,9,17447.1,1613.2,18283.1,19896.3,1810.6,39154.0
2014-10-31,2014,10,17414.8,1799.6,18151.4,19951.0,1837.5,39203.3
2014-11-30,2014,11,17074.1,1959.8,17668.7,19628.5,1838.8,38541.4
2014-12-31,2014,12,17242.5,1552.3,17502.6,19054.9,1832.9,38130.3
2015-01-31,2015,1,17915.9,1476.9,18138.3,19615.2,1908.4,39439.5
2015-02-28,2015,2,18106.3,1615.6,18516.4,20132.0,1913.2,40151.5
2015-03-31,2015,3,18113.2,1742.2,17728.9,19471.1,1897.6,39481.9
2015-04-30,2015,4,17968.1,1994.8,18377.5,20372.3,1903.1,40243.5
2015-05-31,2015,5,17906.8,2037.5,18282.1,20319.6,1898.1,40124.5
2015-06-30,2015,6,18068.5,2001.6,18327.8,20329.4,1916.4,40314.3
2015-07-31,2015,7,19067.8,1480.5,19792.8,21273.3,1963.5,42304.6
2015-08-31,2015,8,19542.5,1290.7,18110.8,19401.5,1970.4,40914.4
2015-09-30,2015,9,20780.1,1048.5,18764.5,19813.0,1990.1,42583.2
2015-10-31,2015,10,21389.2,1009.0,18592.8,19601.8,1990.7,42981.7
2015-11-30,2015,11,22067.0,1046.2,17573.7,18619.9,1991.2,42678.1
2015-12-31,2015,12,23007.3,743.6,16185.2,16928.8,1990.1,41926.2
2016-01-31,2016,1,23833.9,584.4,17811.2,18395.6,2025.0,44254.5
2016-02-29,2016,2,24357.6,464.8,17872.7,18337.5,2040.3,44735.4
2016-03-31,2016,3,24717.1,465.1,19705.9,20171.0,2018.9,46907.0
2016-04-30,2016,4,25063.7,429.3,19841.4,20270.7,2049.9,47384.3
2016-05-31,2016,5,25376.1,412.7,19543.7,19956.4,2081.2,47413.7
2016-06-30,2016,6,25803.0,502.8,20407.1,20909.9,2078.8,48791.7
2016-07-31,2016,7,25982.9,555.8,21172.9,21728.7,2085.8,49797.4
2016-08-31,2016,8,26068.4,633.5,19929.2,20562.7,2107.2,48738.3
