mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Butnan-008,البطنان,Butnan,القعرة,465,4006,43,4049,12,2,14,16,477,4008,57,4065,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-009,البطنان,Butnan,الجغبوب,465,2586,7,2593,35,9,146,155,500,2595,153,2748,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-010,البطنان,Butnan,امساعد,1013,6535,131,6666,118,36,330,366,1131,6571,461,7032,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-011,البطنان,Butnan,البردي,717,4633,17,4650,24,10,56,66,741,4643,73,4716,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-012,البطنان,Butnan,كمبوت الشمالية,279,1793,2,1795,77,8,103,111,356,1801,105,1906,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-013,البطنان,Butnan,كمبوت الجنوبية,531,3734,1,3735,17,0,51,51,548,3734,52,3786,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-014,البطنان,Butnan,بئر الاشهب,480,3384,48,3432,62,26,172,198,542,3410,220,3630,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-015,البطنان,Butnan,جنزور,369,2993,6,2999,19,1,41,42,388,2994,47,3041,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-016,البطنان,Butnan,قصر الجدي,550,4286,42,4328,41,19,116,135,591,4305,158,4463,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Butnan-017,البطنان,Butnan,ام ركبة,306,2092,36,2128,22,16,36,52,328,2108,72,2180,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
Tripoli-001,طرابلس,Tripoli,الظهرة,1974,10046,168,10214,142,92,453,545,2116,10138,621,10759,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-002,طرابلس,Tripoli,المدينة القديمة,2507,12685,392,13077,236,190,742,932,2743,12875,1134,14009,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-003,طرابلس,Tripoli,المسيرة الكبرى,3570,16910,406,17316,444,193,1685,1878,4014,17103,2091,19194,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-004,طرابلس,Tripoli,شهداء الشط,4716,23983,285,24268,469,103,1723,1826,5185,24086,2008,26094,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-005,طرابلس,Tripoli,السابع من ابريل,4142,20997,283,21280,312,167,1162,1329,4454,21164,1445,22609,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-006,طرابلس,Tripoli,المنشية,3973,19124,231,19355,406,86,1310,1396,4379,19210,1541,20751,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-007,طرابلس,Tripoli,المنصورة,2998,15416,163,15579,192,87,631,718,3190,15503,794,16297,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-008,طرابلس,Tripoli,عمر بن العاص,2858,15288,116,15404,304,59,1040,1099,3162,15347,1156,16503,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-009,طرابلس,Tripoli,شهداء الهاني,2170,12698,85,12783,68,39,254,293,2238,12737,339,13076,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-010,طرابلس,Tripoli,الحارات,1836,9668,173,9841,446,59,1751,1810,2282,9727,1924,11651,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-011,طرابلس,Tripoli,عرادة,2008,10514,147,10661,473,87,1800,1887,2481,10601,1947,12548,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-012,طرابلس,Tripoli,الجلاء,1723,8908,134,9042,387,61,1242,1303,2110,8969,1376,10345,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-013,طرابلس,Tripoli,عقبة بن نافع,2015,10778,108,10886,215,64,808,872,2230,10842,916,11758,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-014,طرابلس,Tripoli,النصر,1363,7355,64,7419,87,43,250,293,1450,7398,314,7712,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-015,طرابلس,Tripoli,الساحل,3439,17938,178,18116,491,119,1513,1632,3930,18057,1691,19748,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-016,طرابلس,Tripoli,الجهاد,3435,18210,197,18407,284,152,998,1150,3719,18362,1195,19557,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-017,طرابلس,Tripoli,عين زارة,16298,92163,1038,93201,1487,541,5049,5590,17785,92704,6087,98791,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-018,طرابلس,Tripoli,فوز زناتة,3426,20285,253,20538,601,158,2324,2482,4027,20443,2577,23020,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-019,طرابلس,Tripoli,الحشان,3882,21253,163,21416,211,57,904,961,4093,21310,1067,22377,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-020,طرابلس,Tripoli,سيدي ابو غرارة,5036,27477,237,27714,466,108,1543,1651,5502,27585,1780,29365,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-021,طرابلس,Tripoli,الفتح,5628,30650,231,30881,481,84,1539,1623,6109,30734,1770,32504,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-022,طرابلس,Tripoli,المجد,2260,12753,177,12930,660,90,2264,2354,2920,12843,2441,15284,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-023,طرابلس,Tripoli,قرقارش,7635,40314,459,40773,680,275,2097,2372,8315,40589,2556,43145,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-024,طرابلس,Tripoli,الشارع الغربي,6112,34789,472,35261,863,283,3440,3723,6975,35072,3912,38984,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-025,طرابلس,Tripoli,غوط الشعال,12716,76414,858,77272,812,478,3095,3573,13528,76892,3953,80845,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-026,طرابلس,Tripoli,الحي الصناعي,12129,74824,534,75358,642,317,2079,2396,12771,75141,2613,77754,0,0,10,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-027,طرابلس,Tripoli,باب السلام )عكار(,7386,43285,372,43657,545,174,1939,2113,7931,43459,2311,45770,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-028,طرابلس,Tripoli,ابو سليم الجنوبي,11864,72279,517,72796,1067,236,3552,3788,12931,72515,4069,76584,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-029,طرابلس,Tripoli,شارع الزاوية,2434,12796,16,12812,172,17,697,714,2606,12813,713,13526,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-030,طرابلس,Tripoli,الزحف الاخضر,2366,12158,139,12297,133,81,457,538,2499,12239,596,12835,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-031,طرابلس,Tripoli,شهداء ابو مليانة,1526,8089,86,8175,99,79,342,421,1625,8168,428,8596,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-032,طرابلس,Tripoli,باب بن غشير,3026,17186,161,17347,185,46,591,637,3211,17232,752,17984,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-033,طرابلس,Tripoli,حي 12 مارس,8167,50388,498,50886,281,194,1093,1287,8448,50582,1591,52173,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-034,طرابلس,Tripoli,الحمدية,4284,23703,159,23862,458,110,1212,1322,4742,23813,1371,25184,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-035,طرابلس,Tripoli,المشاي,3962,21960,161,22121,363,97,1219,1316,4325,22057,1380,23437,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-036,طرابلس,Tripoli,الحرية,2275,12147,109,12256,133,40,438,478,2408,12187,547,12734,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-037,طرابلس,Tripoli,البرهانية,1541,8099,85,8184,279,55,871,926,1820,8154,956,9110,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-038,طرابلس,Tripoli,ابي الاشهر,3372,18447,110,18557,171,55,627,682,3543,18502,737,19239,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-039,طرابلس,Tripoli,الوادي الغربي,3289,17986,97,18083,501,33,890,923,3790,18019,987,19006,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Tripoli-040,طرابلس,Tripoli,الوادي الشرقي,2044,11858,84,11942,367,35,736,771,2411,11893,820,12713,0,0,11,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
Ghat-001,غات,Ghat,غات,1757,10561,87,10648,312,147,1148,1295,2069,10708,1235,11943,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-غات-لسنة-2006م.pdf,1d4b4d17ff7ab56497274031930bc3df66c9bb09f2de3d37809972a91a7cd315
Ghat-002,غات,Ghat,العوينات,470,2899,31,2930,55,11,227,238,525,2910,258,3168,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-غات-لسنة-2006م.pdf,1d4b4d17ff7ab56497274031930bc3df66c9bb09f2de3d37809972a91a7cd315
Ghat-003,غات,Ghat,البركت,1130,7671,25,7696,91,40,352,392,1221,7711,377,8088,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-غات-لسنة-2006م.pdf,1d4b4d17ff7ab56497274031930bc3df66c9bb09f2de3d37809972a91a7cd315
Murzuq-001,مرزق,Murzuq,الوسطى/ مرزق,1720,10446,90,10536,162,90,539,629,1882,10536,629,11165,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-002,مرزق,Murzuq,الغربية / مرزق,1242,7755,58,7813,136,23,434,457,1378,7778,492,8270,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-003,مرزق,Murzuq,الشرقية / مرزق,798,5300,20,5320,38,19,116,135,836,5319,136,5455,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-004,مرزق,Murzuq,الوسط / تراغن,946,5830,86,5916,233,42,709,751,1179,5872,795,6667,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-005,مرزق,Murzuq,الغربية / تراغن,388,2455,16,2471,33,7,81,88,421,2462,97,2559,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-006,مرزق,Murzuq,الجنوبية / تراغن,207,1280,1,1281,19,0,54,54,226,1280,55,1335,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-007,مرزق,Murzuq,الشرقية / تراغن,54,364,0,364,2,0,8,8,56,364,8,372,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-008,مرزق,Murzuq,المركز / ام الارنب,1219,7422,50,7472,484,27,1067,1094,1703,7449,1117,8566,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-009,مرزق,Murzuq,الشرقية / ام الارنب,179,1022,5,1027,65,2,73,75,244,1024,78,1102,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-010,مرزق,Murzuq,زويلة,489,3165,32,3197,168,24,399,423,657,3189,431,3620,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-011,مرزق,Murzuq,تمسة,324,2024,14,2038,38,2,132,134,362,2026,146,2172,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-012,مرزق,Murzuq,مجدول,184,1201,11,1212,14,6,39,45,198,1207,50,1257,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-013,مرزق,Murzuq,تربو وأم زوير,51,380,0,380,1,0,10,10,52,380,10,390,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-014,مرزق,Murzuq,القطرون,748,4564,126,4690,358,129,1094,1223,1106,4693,1220,5913,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-015,مرزق,Murzuq,الجنوبية / القطرون,695,4118,75,4193,171,69,508,577,866,4187,583,4770,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-016,مرزق,Murzuq,تجرهي,239,1426,4,1430,11,17,42,59,250,1443,46,1489,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-017,مرزق,Murzuq,الغربية / وادي عتبة,1254,7855,21,7876,67,17,266,283,1321,7872,287,8159,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Murzuq-018,مرزق,Murzuq,الشرقية / وادي عتبة,852,5421,13,5434,27,11,66,77,879,5432,79,5511,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
Misrata-001,مصراته,Misrata,ابو شعيرة,1848,10605,62,10667,152,42,566,608,2000,10647,628,11275,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-002,مصراته,Misrata,الرويسات,3710,22158,266,22424,762,198,2789,2987,4472,22356,3055,25411,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-003,مصراته,Misrata,راس التوتة,2186,12385,118,12503,244,118,886,1004,2430,12503,1004,13507,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-004,مصراته,Misrata,الجزيرة,2027,11953,63,12016,154,59,596,655,2181,12012,659,12671,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-005,مصراته,Misrata,راس عمار,1264,7139,118,7257,180,72,718,790,1444,7211,836,8047,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-006,مصراته,Misrata,الخروبة,1973,11970,152,12122,290,114,1114,1228,2263,12084,1266,13350,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-007,مصراته,Misrata,راس فريدغ,2508,15198,67,15265,289,52,787,839,2797,15250,854,16104,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-008,مصراته,Misrata,الرميلة,708,4550,55,4605,137,25,460,485,845,4575,515,5090,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-009,مصراته,Misrata,القوشي,4085,23902,201,24103,403,155,1549,1704,4488,24057,1750,25807,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-010,مصراته,Misrata,الغيران,4433,27790,90,27880,134,47,417,464,4567,27837,507,28344,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-011,مصراته,Misrata,راس الماجل,1442,8635,27,8662,100,13,317,330,1542,8648,344,8992,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-012,مصراته,Misrata,الزروق,2814,16142,95,16237,461,62,1321,1383,3275,16204,1416,17620,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-013,مصراته,Misrata,قصر احمد,2680,16056,71,16127,114,29,388,417,2794,16085,459,16544,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-014,مصراته,Misrata,المرسي,1370,7712,36,7748,39,14,146,160,1409,7726,182,7908,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-015,مصراته,Misrata,المحجوب,2196,13367,46,13413,47,26,199,225,2243,13393,245,13638,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-016,مصراته,Misrata,سيدي امبارك,1358,8588,30,8618,23,19,81,100,1381,8607,111,8718,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-017,مصراته,Misrata,طمينة,1476,9287,24,9311,140,10,244,254,1616,9297,268,9565,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-018,مصراته,Misrata,كرزاز,1269,7941,17,7958,44,36,164,200,1313,7977,181,8158,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-019,مصراته,Misrata,الكراريم,511,3028,6,3034,42,5,89,94,553,3033,95,3128,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-020,مصراته,Misrata,الدافنية / مصراتة,661,4184,15,4199,15,4,23,27,676,4188,38,4226,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-021,مصراته,Misrata,ابو روية,2040,12853,30,12883,93,22,292,314,2133,12875,322,13197,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
Misrata-022,مصراته,Misrata,وادي الازرق,113,707,2,709,1,0,5,5,114,707,7,714,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
