address_id,full,city,region,country,latitude,longitude,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,matched_script,matched_on
addr-0bf99b95d0e1d00b03d9489799011ccf2d114e56,"Room 1706A, 17th Floor, Building A, World Trade Tower 6, Xianggang Zhonglu, Shinan Qu, Shandong",Qingdao,,cn,,,,,,,,
addr-0c964d3b4d2a0832eff62e0e75d2689c9ca5670c,"P.O. Box P.O. Box 83145-311, Shahin Shahr, 28 km Esfahan – Tehran Freeway, Iran",Shahin Shahr,Esfahan,ir,,,,,,,,
addr-0eb92d00809b34946bd79859a6cf80e2f3b11812,"Tehran, Sheikh Fazlollah Highway, Teimuri Blvd, before Sharif University Metro Station, Yas Building, Number 116, Fifth Floor, Unit 18",Tehran,,ir,,,,,,,,
addr-10aa1146406696875a4413c161fd436e0d747361,"Tehran, No. 539, North Pasdaran Avenue, Tehran, Ansar Building, North Khaje Nasir Street, Iran",Tehran,,ir,,,,,,,,
addr-110297c343641ee0dfb24d1d9e50b0e06b1f98ac,既知の住所Tarig sure no.51，Tripoliから2015年にサブラタ（Sabratha）に移動した可能性がある。,,,,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
addr-144b78a59fea71bce49db0aab8130eeb7d34af67,"Isfahan, P.O. Box 81465-935",Isfahan,,ir,,,,,,,,
addr-14e268ba0ab1b224c63b42bd2f5a04e5d41d0cfc,Tehran,Tehran,,ir,,,,,,,,
addr-162b22a4244fd666d3eade70ad17298f7f64d51a,"Tehran, 187 Motahri Avenue, 1587998411",Tehran,,ir,,,,,,,,
addr-1631ae17b5cce8cb6ccd13fff88bc34e7750e49f,"Zahedan, Sistan and Baluchestan Province",Zahedan,,ir,,,,,,,,
addr-16464dcdbadadd03b5fb02f0fe6e66564cfd8f1b,"Tehran, No. 279, Kilometer 13, Shahid Lashgari Highway",Tehran,,ir,,,,,,,,
addr-17f9433de1f3f36d526e9950ca46bf356e8c3c4a,"Waziristan, Pakistan",Waziristan,Federally Administered Tribal Areas,pk,,,,,,,,
addr-1a04ffd18063a26e118e0e0e27a27f326a355ada,"Tehran, No. 57, Eftekhar St., Larestan St., Motahhari Ave",Tehran,,ir,,,,,,,,
addr-1bfd4eb26d8353f7d6f504d735f654960828bbc7,Tunisia,,,tn,,,,,,,,
addr-1d2ca2642fe8ed59723b0c04fac8e133537705f6,以外に2015年3月時点で所在していた可能性がある住所),,,,,,,,,,,
addr-1e46dcaea0ab42eb5c3cd2862ff5601b1619b798,"(Operates in Benghazi, Libya)",,,,,,بنغازي,Benghazi,LY0103,shabiya,latin,benghazi
addr-1e475c72d57cf7f7fffe833b8624bdbefb5a7385,"Tehran, No. 2 Firouzeh Alley, Shahid Hadjipour St., Resalat Highway",Tehran,,ir,,,,,,,,
addr-217573554723f9141f314e4967228d876bd29f61,Urmia,Urmia,,ir,,,,,,,,
addr-23525042e4bdfad9afd3f2312c5789ebfd695dd1,"Zanjan, The end of the Tenth Bahrevari Street, Zinc Industrial Town, 5 km off Bijar Road",Zanjan,,ir,,,,,,,,
addr-23afb60d0ebb834c9c1d234e1a88e634618c8c8a,Malmo,Malmo,,se,,,,,,,,
addr-25cedb664d42f33c7bdd4dad794cf60b39c263dd,"12/340 Yesilkoy Mahallesi, Ataturk Caddesi, Bakirkoy, 34149 Istanbul",Istanbul,,tr,,,,,,,,
addr-28d26f865f503aab15c7b324c47307f4f69dc155,Tehran,Tehran,,ir,,,,,,,,
addr-2b8876072bd13efe2842746c072c6aefa64f4c4b,"71-75 Shelton Street, London WC2H 9JQ",London,,gb,,,,,,,,
addr-2ba929ae06597bdac7983ffe716c0af26ab6e7dc,"Garabulli, Libya",,,,,,,,,,,
addr-2bdf34cf1e3faf9de79be2f0ba801084bb810f7a,"Tehran, Eastern 14th St., Beihaghi Blvd., Arjantin Sq.",Tehran,,ir,,,,,,,,
addr-2be86d596f388e75000ba92e4715f43a33184585,"Al Ras Area, Dubai",Dubai,,ae,,,,,,,,
addr-2d4de6e70784f72bdf84aee01eb1958fc42ed4be,"Tehran, 204 Taleghani Ave.",Tehran,,ir,,,,,,,,
addr-2d6167694bfe2e2a0b2360c18f31fd120139ceb2,"L-1, Office No. 28, Sharjah",,,ae,,,,,,,,
addr-2e0053c2548279c6b9d2b1dd98746e2966b2f53d,Tehran,Tehran,,ir,,,,,,,,
addr-2e86e91df82639255e4a92f6367cbcdeef7cd216,"Tehran, No. 279, 13th Km of Lashgari Hwy, 13999-39711",Tehran,,ir,,,,,,,,
addr-2fd5720a929d7c19512ceaec31d29ec544de8db9,Khartoum,Khartoum,,sd,,,,,,,,
addr-2fde926d516d7dc804ef62331417a56da506e3a9,"Jisr Diyala, Karrada District, Baghdad",Baghdad,,iq,,,,,,,,
addr-2ff2d717087284ba5f4f8207ebb7b14e5137c9af,"Tehran, c/o IRGC",Tehran,,ir,,,,,,,,
addr-30132d2ed4f1b7aaa83ac6c3b73258b57a7900fd,Kohgiluyeh and Boyer-Ahmad,,,ir,,,,,,,,
addr-3058e1f25ebc5e613e83bba8e91d86d906c98975,"Nanshan District, Guangdong",Shenzhen,,cn,,,,,,,,
addr-307444bc87a2f885000917187b236dabff67bf9d,"Unit 26 of Factory A on 5th Floor, Union Hing Yip Factory Building, No. 20 Hing Yip Street, Hong Kong",Hong Kong,,cn,,,,,,,,
addr-31399324ac687ff152d3d5fc78472124b46793f0,"Kish Island, No. 77, Commercial Center Market (Bazar Markazi Tejari), Ferdosi Street",Kish Island,,ir,,,,,,,,
addr-31b60c27090199c10f96070938d74c6b86fd7077,"Teheran, Iran",Teheran,,ir,,,,,,,,
addr-3235e51804ed1d2a4a99f556f7a9e3327c7bcb05,"Tehran, No. 41, Joibar Street, Fatemi Square",Tehran,,ir,,,,,,,,
addr-323fe7ef807392d9d2c18a64f21821a4fb8dadf6,"Kish Island, Exhibition Industrial Town, Number 2, EX35, First Floor, Unit 2, 7941659854",Kish Island,,ir,,,,,,,,
addr-334402130316ed51897e7feb10825fdfe3588b3b,"Tehran, P.O. Box 8140, No. 107 Sepahbod Gharany Ave",Tehran,,ir,,,,,,,,
addr-334fce2884e6cc8075f9f666346a16048abeb7f1,"Tehran, 539 North Pasdaran Avenue, Tehran, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
addr-356b0c6ba0bdeec27bb00260c76c12d29ed40c5d,Tehran,Tehran,,ir,,,,,,,,
addr-35cb97fb2fe0ff0323b3a0bdb8485bb3701809ed,Afghanistan (as at June 2014),,,,,,,,,,,
addr-36595b548dd4397a81ecead795f5b687347c0628,イラク (,,,iq,,,,,,,,
